INSTNM,UGDS,REGION,LOCALE,CCSIZSET,ADM_RATE,TUITFTE
University of Michigan-Dearborn,6965,3,13,12,0.7797,12612
Texas A & M International University,6962,6,11,12,0.5208,4187
Middle Georgia State University,6931,5,12,13,0.9196,3858
Saint Louis University,6917,4,11,17,0.5753,21474
The College of New Jersey,6886,2,21,14,0.498,13134
Vanderbilt University,6840,5,11,17,0.0961,25678
Murray State University,6830,5,33,13,0.8142,8564
Villanova University,6819,2,21,14,0.2922,28878
Missouri University of Science and Technology,6785,4,33,13,0.8416,12145
Metropolitan State University,6768,4,11,12,0.5379,5240
Western Illinois University,6754,3,33,14,0.5878,7090
Brown University,6752,1,12,14,0.0767,37898
The University of Texas at Tyler,6732,6,12,12,0.7829,6170
Northern Michigan University,6722,3,33,13,0.6574,9166
University of San Francisco,6661,8,11,16,0.6455,28022
University of Massachusetts-Dartmouth,6649,1,22,14,0.7754,10480
Belmont University,6620,5,11,14,0.8247,25214
Hofstra University,6616,2,21,17,0.632,27414
University of Chicago,6600,3,11,17,0.0726,28828
Millersville University of Pennsylvania,6597,2,21,13,0.7796,9808
Duke University,6596,5,11,17,0.0891,30002
Rensselaer Polytechnic Institute,6590,2,13,14,0.4299,27840
State University of New York at New Paltz,6586,2,21,13,0.4135,5898
University of Wisconsin-Green Bay,6576,3,12,13,0.7858,5170
Johnson & Wales University-Providence,6569,1,12,14,0.91,14500
Loyola Marymount University,6557,8,11,14,0.4713,33429
California State University-Monterey Bay,6502,8,22,14,0.5852,5237
Columbia College Chicago,6496,3,11,13,0.8675,21504
Carnegie Mellon University,6483,2,11,17,0.1712,40199
Rhode Island College,6480,1,21,12,0.7346,6657
Lindenwood University,6458,4,13,14,0.8811,13700
Southern Methodist University,6448,6,21,14,0.5123,29065
Morgan State University,6404,2,11,13,0.6625,6881
Jacksonville State University,6394,5,13,13,0.5429999999999999,6509
Salem State University,6369,1,21,13,0.847,9151
William & Mary,6349,5,23,14,0.3692,19385
University of Rochester,6348,2,12,17,0.2942,22774
University of St Thomas,6344,4,11,13,0.8039,19793
Berklee College of Music,6332,1,11,12,0.4764,27167
Northeastern State University,6332,6,33,12,0.9754,5699
University of Arkansas at Little Rock,6328,5,12,12,0.7933,5354
SUNY Cortland,6325,2,32,13,0.4425,5740
Long Island University,6323,2,21,16,0.7554,25158
Northeastern Illinois University,6306,3,11,12,0.5563,8259
University of Louisiana at Monroe,6293,5,13,13,0.7101,8082
Columbus State University,6266,5,12,12,0.5639,6571
Morehead State University,6253,5,33,14,0.7926,4985
University of South Dakota,6228,4,32,13,0.858,8338
Elon University,6196,5,22,14,0.7214,29073
University of Houston-Clear Lake,6196,6,21,12,0.6942,9107
Howard University,6166,2,11,14,0.3159,15476
New Jersey City University,6121,2,11,12,0.9585,7553
Ithaca College,6072,2,23,14,0.6854,21196
McNeese State University,6022,5,13,12,0.7032,6333
SUNY Oneonta,6021,2,33,14,0.5066,5242
Duquesne University,6008,2,11,14,0.7185,22779
Yale University,5963,1,12,17,0.0635,18542
University of North Carolina at Pembroke,5960,5,32,13,0.8123,4638
Embry-Riddle Aeronautical University-Daytona Beach,5925,5,13,13,0.655,29020
Seton Hall University,5919,2,21,13,0.7036,23455
North Carolina Central University,5913,5,11,13,0.4664,6130
University of New Orleans,5909,5,11,13,0.5726,8861
Sacred Heart University,5907,1,21,14,0.6044,22999
Angelo State University,5892,6,12,13,0.7324,6236
Mercy College,5870,2,21,12,0.7945,16084
Georgia College & State University,5834,5,32,13,0.7778,8641
Texas A & M University-Kingsville,5811,6,32,13,0.8911,6327
University of Denver,5791,7,11,13,0.5647,28488
University of San Diego,5760,8,11,13,0.5292,29223
University of North Alabama,5741,5,13,13,0.6434,7591
Michigan Technological University,5736,3,33,14,0.7388,14825
Texas A&M University-San Antonio,5673,6,41,12,0.2977,7151
Clayton  State University,5630,5,21,12,0.5436,4727
Rutgers University-Camden,5618,2,13,12,0.7138,13810
Southern University and A & M College,5612,5,12,13,0.3724,6153
East Stroudsburg University of Pennsylvania,5599,2,13,14,0.8156,8383
Tufts University,5597,1,21,17,0.1462,34092
University of Wisconsin-River Falls,5570,3,32,13,0.7507,6200
Southeastern University,5570,5,12,13,0.4807,10676
Johns Hopkins University,5567,2,11,16,0.1148,26601
Albany State University,5545,5,13,13,0.905,3461
Azusa Pacific University,5545,8,21,14,0.6851,19919
Nicholls State University,5543,5,13,13,0.937,6515
Santa Clara University,5504,8,12,14,0.4991,32521
SUNY College at Geneseo,5490,2,32,14,0.6481,5821
Monroe College,5482,2,11,12,0.4387,11271
Marist College,5405,2,21,14,0.4623,23876
University of South Carolina-Upstate,5403,5,22,12,0.5719,6512
Inter American University of Puerto Rico-Metro,5377,9,11,12,0.1793,6697
Midwestern State University,5372,6,12,13,0.7107,6906
University of Washington-Bothell Campus,5363,8,21,12,0.7935,3266
The University of Tennessee-Martin,5354,5,33,13,0.6890000000000001,5158
University of Michigan-Flint,5343,3,13,12,0.6626,11208
Shippensburg University of Pennsylvania,5343,2,31,13,0.8762,8869
University of the Incarnate Word,5312,6,11,12,0.8794,17636
Adelphi University,5307,2,21,13,0.7418,24971
Jackson State University,5305,5,12,13,0.6893,5186
Princeton University,5301,2,21,14,0.0548,12995
University of Southern Maine,5281,1,13,12,0.8543,8097
Ramapo College of New Jersey,5262,2,21,14,0.6289,10021
Touro College,5243,2,11,12,0.7054,21135
Gonzaga University,5237,8,12,14,0.6562,21683
SUNY College at Plattsburgh,5229,2,32,13,0.5425,5227
Wake Forest University,5225,5,12,14,0.294,31902
Bowie State University,5197,2,21,13,0.3801,5159
Northwest Missouri State University,5193,4,33,14,0.7915,7405
Augusta University,5146,5,12,12,0.8006,11830
Pontifical Catholic University of Puerto Rico-Ponce,5144,9,12,12,0.9171,5748
Case Western Reserve University,5131,3,11,17,0.2925,26845
Missouri Southern State University,5122,4,13,12,0.9562,3046
Westfield State University,5110,1,21,14,0.8605,8470
University of La Verne,5098,8,21,12,0.5089,20508
Pittsburg State University,5067,4,32,13,0.8958,5364
California University of Pennsylvania,5063,2,23,13,0.9699,9071
University of New Haven,5041,1,21,14,0.8387,20345
Lehigh University,5030,2,13,13,0.2233,29693
Suffolk University,5012,1,11,13,0.8533,23975
Worcester State University,4996,1,12,13,0.7785,6883
Alabama A & M University,4990,5,12,14,0.8986,7413
Xavier University,4955,3,11,14,0.7379,18013
Fayetteville State University,4915,5,12,13,0.6787,3313
Truman State University,4906,4,33,14,0.653,4764
Colorado School of Mines,4906,7,21,13,0.4919,21358
Western Connecticut State University,4872,1,13,13,0.7924,8967
Nova Southeastern University,4856,5,21,16,0.7854,29158
Christopher Newport University,4853,5,12,14,0.6777,8188
Saint Joseph's University,4814,2,11,14,0.7632,22994
Davenport University,4782,3,21,12,0.8933,18829
Mercer University,4765,5,12,13,0.72,18120
University of Hartford,4750,1,12,14,0.7136,15745
Eastern Connecticut State University,4674,1,31,14,0.6573,6827
Seattle University,4674,8,11,13,0.7565,26815
University of Alaska Fairbanks,4657,8,23,13,0.7611,8210
SUNY College at Old Westbury,4645,2,21,12,0.7786,4664
Norfolk State University,4636,5,12,14,0.8969,5513
Eastern Illinois University,4631,3,32,14,0.5531,4340
Winston-Salem State University,4610,5,12,14,0.6531,4772
Indiana University-South Bend,4603,3,12,12,0.8190000000000001,6586
Bradley University,4598,3,12,13,0.6681,17819
Monmouth University,4595,2,21,13,0.7701,23004
United States Military Academy,4589,0,31,14,0.1146,0
Minnesota State University Moorhead,4572,4,22,13,0.6025,5928
Worcester Polytechnic Institute,4571,1,12,13,0.4159,27930
Indiana University-Southeast,4555,3,21,12,0.8508,6296
Butler University,4553,3,11,14,0.6783,22282
Western Oregon University,4552,8,31,13,0.8447,7578
Massachusetts Institute of Technology,4550,1,12,17,0.0674,31369
Winthrop University,4545,5,13,14,0.6728,8456
University of Washington-Tacoma Campus,4530,8,12,12,0.8556,3776
Auburn University at Montgomery,4529,5,12,13,0.9281,7582
United States Naval Academy,4512,0,21,14,0.0854,0
High Point University,4498,5,12,14,0.7695,24204
Arizona State University-Polytechnic,4495,6,11,13,0.8337,8643
University of Indianapolis,4487,3,11,13,0.6891,14687
Creighton University,4405,4,11,14,0.7144,27034
SUNY at Fredonia,4402,2,32,14,0.7619,4650
University of Mary Washington,4371,5,22,14,0.7175,6645
Frostburg State University,4359,2,23,13,0.7831,5984
Roger Williams University,4347,1,21,14,0.8609,19077
United States Air Force Academy,4336,0,31,14,0.1139,0
University of Nebraska at Kearney,4328,4,32,14,0.9363,5565
Dartmouth College,4312,1,33,14,0.0874,32303
Bemidji State University,4308,4,33,13,0.6667,5484
Lee University,4258,5,13,14,0.8919,11264
Wentworth Institute of Technology,4254,1,11,14,0.7604,18575
Southwestern Oklahoma State University,4242,6,33,13,0.9186,5672
Lewis University,4217,3,21,13,0.5776,16271
Campbell University,4199,5,31,13,0.763,14773
University of Puerto Rico-Bayamon,4190,9,21,12,0.6988,613
Universidad del Sagrado Corazon,4184,9,11,12,0.3946,7497
Bentley University,4177,1,13,14,0.4321,30307
Inter American University of Puerto Rico-Bayamon,4169,9,21,12,0.3072,5323
Pennsylvania State University-Penn State Harrisburg,4162,2,21,12,0.8775,6235
Regent University,4161,5,11,12,0.8167,12605
Inter American University of Puerto Rico-Ponce,4155,9,22,12,0.2754,5137
Plymouth State University,4135,1,33,14,0.8240000000000001,9959
Pennsylvania State University-Penn State Erie-Behrend College,4117,2,22,13,0.8912,6895
Grambling State University,4110,5,32,14,0.9475,5018
Fairfield University,4103,1,21,14,0.603,29223
Brandman University,4092,8,11,12,0.7917,14523
Providence College,4079,1,12,14,0.4897,26713
