Name,Reopening Plan,Unnamed: 2
Lane Community College,Primarily in person,
Skyline College,Primarily online,
Las Positas College,Primarily online,
University of Houston-Clear Lake,Primarily online,
Sacred Heart University,Primarily in person,
McLennan Community CollegeMcLennan County? TX,Hybrid,
University of Wisconsin at Platteville,Primarily online,
Mississippi Gulf Coast Community College Perkinston Campus,Hybrid,
College of San Mateo,Primarily online,
Creighton University,Primarily in person,
Bloomsburg University of Pennsylvania,Fully online,
Century College,Primarily online,
Rowan College at Burlington County,Primarily online,
Illinois Central College,Primarily online,
Anoka-Ramsey Community College,Primarily online,
Southwestern Illinois College,Hybrid,
Ohlone College,Fully online,
Cuyamaca College,Primarily online,
College of William & Mary,Primarily online,
Georgia Military College,Primarily online,
Slippery Rock University of Pennsylvania,Primarily online,
University of Wisconsin-Stout,Primarily online,
Fashion Institute of Technology,Primarily online,
Brandman University,Fully online,
Southeastern University (Fla.),Hybrid,
Scottsdale Community College,Primarily online,
Mercer University,Fully in person,
J. Sargeant Reynolds Community College,Primarily online,
Los Angeles Harbor College,Fully online,
City University of New York York College,Primarily online,
City Colleges of Chicago Harold Washington College,Primarily online,
Santa Clara University,Primarily online,
Mt. Hood Community College,Primarily online,
Navarro College,Primarily in person,
Missouri University of Science and Technology,Primarily in person,
Dutchess Community College,Primarily online,
Folsom Lake College,Hybrid,
Salisbury University,Hybrid,
University of Wisconsin at Green Bay,Primarily online,
University of California at Merced,Primarily online,
Texas A&M University at Kingsville,Primarily in person,
Saginaw Valley State University,Primarily in person,
University of Massachusetts at Dartmouth,Hybrid,
Western Illinois UniversityMcDonough County? IL,Primarily in person,
Jacksonville State University,Primarily online,
Green River College,Primarily online,
Augusta University,Hybrid,
Oakton Community College,Primarily online,
Hudson County Community College,Primarily online,
Wake Forest University,Primarily online,
Cape Fear Community College,Primarily in person,
Butler Community College (Kan.),Primarily in person,
Princeton University,Fully online,
Imperial Valley College,Primarily online,
Salem State University,Hybrid,
Kutztown University of Pennsylvania,Hybrid,
State University of New York College at Brockport,Hybrid,
Nashville State Community College,Hybrid,
University of the Incarnate Word,Primarily online,
Belmont University,Primarily online,
Baton Rouge Community College,Primarily online,
Chattanooga State Community College,Primarily online,
Central Georgia Technical College,Primarily online,
North Carolina Central University,Hybrid,
Cincinnati State Technical and Community College,Primarily online,
Pitt Community College,Primarily online,
